,assists,clean_sheets,draws,goals_against,goals_for,id,loses,own_goals,penalties_missed,penalties_saved,points,red_cards,saves,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,team_name,week_no,wins,yellow_cards,ranking
101,4,True,,0.0,5.0,13,,0,0,0,3,0,1,1320,1300,1350,1330,Man City,6,True,1,2.0
102,3,,,1.0,3.0,11,,0,0,0,3,0,1,1180,1100,1140,1090,Leicester,6,True,2,9.0
103,1,,,3.0,1.0,10,True,0,0,0,0,0,1,1060,1020,1020,980,Huddersfield,6,,1,20.0
104,0,True,True,0.0,0.0,19,,0,0,0,1,0,1,1070,1030,1110,1080,West Ham,6,,2,17.0
105,0,True,True,0.0,0.0,6,,0,0,0,1,0,1,1290,1260,1320,1300,Chelsea,6,,1,3.0
106,3,True,,0.0,4.0,4,,0,0,0,3,0,1,1150,1110,1090,1040,Burnley,6,True,2,16.0
107,0,,,4.0,0.0,2,True,0,0,0,0,0,1,1120,1080,1170,1120,Bournemouth,6,,0,8.0
108,1,True,,0.0,2.0,1,,0,0,0,3,0,1,1280,1230,1320,1270,Arsenal,6,True,2,6.0
109,0,,,2.0,0.0,8,True,0,0,0,0,0,1,1110,1060,1130,1060,Everton,6,,1,12.0
110,1,,,2.0,1.0,3,True,0,0,0,0,0,1,1070,1040,1100,1030,Brighton,6,,2,14.0
111,2,,,1.0,2.0,17,,0,0,0,3,0,1,1300,1280,1330,1310,Spurs,6,True,1,5.0
112,1,,True,1.0,1.0,9,,0,0,0,1,0,1,1060,1010,1090,1040,Fulham,6,,2,15.0
113,1,,True,1.0,1.0,18,,0,0,0,1,0,1,1190,1090,1150,1080,Watford,6,,1,4.0
114,2,True,,0.0,3.0,12,,0,0,0,3,0,1,1320,1290,1340,1320,Liverpool,6,True,0,1.0
115,0,,,3.0,0.0,16,True,1,0,0,0,0,1,1080,1030,1120,1070,Southampton,6,,2,13.0
116,0,True,True,0.0,0.0,7,,0,0,0,1,0,1,1100,1050,1110,1070,Crystal Palace,6,,1,11.0
117,0,True,True,0.0,0.0,15,,0,0,0,1,0,1,1110,1060,1090,1040,Newcastle,6,,1,18.0
118,1,,True,1.0,1.0,14,,0,0,0,1,0,1,1300,1260,1310,1280,Man Utd,6,,1,7.0
119,1,,True,1.0,1.0,20,,0,0,0,1,0,1,1120,1080,1090,1030,Wolves,6,,1,10.0
120,2,True,,0.0,3.0,8,,0,1,0,3,0,0,1110,1060,1130,1060,Everton,7,True,0,11.0
121,0,,,3.0,0.0,9,True,0,0,0,0,0,1,1060,1010,1090,1040,Fulham,7,,3,17.0
122,2,True,,0.0,2.0,13,,0,0,0,3,0,1,1320,1300,1350,1330,Man City,7,True,0,1.0
123,0,,,2.0,0.0,3,True,0,0,0,0,0,1,1070,1040,1100,1030,Brighton,7,,3,16.0
124,1,,,2.0,1.0,5,True,0,0,0,0,0,0,1070,1010,1070,1000,Cardiff,7,,1,19.0
125,2,,,1.0,2.0,4,,0,0,0,3,0,1,1150,1110,1090,1040,Burnley,7,True,3,12.0
126,2,True,,0.0,2.0,1,,0,0,0,3,0,2,1280,1230,1320,1270,Arsenal,7,True,2,5.0
127,0,,,2.0,0.0,18,True,1,0,0,0,0,1,1190,1090,1150,1080,Watford,7,,2,6.0
128,2,,,1.0,2.0,2,,0,0,0,3,0,1,1120,1080,1170,1120,Bournemouth,7,True,3,7.0
129,1,,,2.0,1.0,7,True,0,0,0,0,0,1,1100,1050,1110,1070,Crystal Palace,7,,4,13.0
130,1,,True,1.0,1.0,6,,0,0,0,1,0,1,1290,1260,1320,1300,Chelsea,7,,0,3.0
131,1,,True,1.0,1.0,12,,0,0,0,1,0,1,1320,1290,1340,1320,Liverpool,7,,2,2.0
132,3,,,1.0,3.0,19,,0,0,0,3,0,1,1070,1030,1110,1080,West Ham,7,True,0,14.0
133,1,,,3.0,1.0,14,True,1,0,0,0,0,1,1300,1260,1310,1280,Man Utd,7,,1,10.0
134,0,,,2.0,0.0,15,True,0,0,0,0,0,1,1110,1060,1090,1040,Newcastle,7,,0,18.0
135,2,True,,0.0,2.0,11,,0,0,0,3,0,1,1180,1100,1140,1090,Leicester,7,True,0,8.0
136,0,,,2.0,0.0,10,True,0,0,0,0,0,1,1060,1020,1020,980,Huddersfield,7,,2,20.0
137,2,True,,0.0,2.0,17,,0,0,0,3,0,1,1300,1280,1330,1310,Spurs,7,True,2,4.0
138,2,True,,0.0,2.0,20,,0,0,0,3,0,1,1120,1080,1090,1030,Wolves,7,True,3,9.0
139,0,,,2.0,0.0,16,True,0,0,0,0,0,1,1080,1030,1120,1070,Southampton,7,,1,15.0
140,0,,,1.0,0.0,7,True,0,0,0,0,0,1,1100,1050,1110,1070,Crystal Palace,8,,3,14.0
141,1,True,,0.0,1.0,20,,0,0,0,3,0,1,1120,1080,1090,1030,Wolves,8,True,4,7.0
142,1,True,,0.0,1.0,17,,0,0,0,3,0,1,1300,1280,1330,1310,Spurs,8,True,3,5.0
143,0,,,1.0,0.0,5,True,0,0,0,0,1,1,1070,1010,1070,1000,Cardiff,8,,1,20.0
144,0,,,3.0,0.0,16,True,0,0,0,0,0,1,1080,1030,1120,1070,Southampton,8,,6,16.0
145,3,True,,0.0,3.0,6,,0,0,0,3,0,1,1290,1260,1320,1300,Chelsea,8,True,0,2.0
146,1,,True,1.0,1.0,4,,0,0,0,1,0,1,1150,1110,1090,1040,Burnley,8,,2,12.0
147,1,,True,1.0,1.0,10,,0,0,0,1,0,1,1060,1020,1020,980,Huddersfield,8,,2,18.0
148,0,True,True,0.0,0.0,12,,0,0,0,1,0,1,1320,1290,1340,1320,Liverpool,8,,1,3.0
149,0,True,True,0.0,0.0,13,,0,1,0,1,0,1,1320,1300,1350,1330,Man City,8,,3,1.0
150,1,,,5.0,1.0,9,True,0,0,0,0,0,1,1060,1010,1090,1040,Fulham,8,,2,17.0
151,5,,,1.0,5.0,1,,0,0,0,3,0,1,1280,1230,1320,1270,Arsenal,8,True,0,4.0
